2M++,2M++,"Cosmicflows-3 Distances","Cosmicflows-3 Distances","Cosmicflows-3 Distances","Cosmicflows-3 Distances"
pgc,Ks,Vcmb,Dist,Nd,RAJ,DeJ
%7s,%5.2f,%5d,%6.2f,%1d,%8s,%9s
---,mag,km/s,Mpc,,hms,damas
"The Catalogue of Principal Galaxies (PGC) Number","Apparent Ks 20 mag/as^2 isophote magnitude adjusted for cosmological surface brightness dimming, extinction, filter redshift response, and stellar evolution, as defined by Lavaux and Hudson","Velocity in Cosmic Microwave Background frame","Luminosity distance (weighted average if more than one source)","Number of distance sources","Right Ascension (J2000)","Declination (J2000)"
2793360,10.52,6403,,,,
2793361,10.28,5267,,,,
2793375,10.05,14438,,,,
2793377,10.98,5412,,,,
2793378,10.63,4675,,,,
2793386,8.98,5325,,,,
2793389,8.84,5192,,,,
2793390,11.13,5310,,,,
2793391,10.67,5636,,,,
2793392,11.16,5439,,,,
2793394,11.01,5551,,,,
2793395,10.69,5396,,,,
2793396,10.65,5490,,,,
2793399,10.90,5001,,,,
2793405,10.45,5356,,,,
2793427,12.16,11638,,,,
2793440,11.07,5827,,,,
2793449,11.37,11763,,,,
2793452,12.15,14504,159.96,1,033624.1,-253948
2793455,,,289.73,1,100116.9,-180237
2793463,12.27,16206,,,,
2793467,12.15,15327,208.93,1,125654.1,-330012
2793504,,,265.46,1,133836.2,-354318
2793516,12.21,15118,178.65,1,135230.8,-275623
2793524,12.45,12197,,,,
2793526,11.48,6401,,,,
2793530,11.71,6178,103.28,1,140720.9,-270040
2793535,,,260.62,1,140545.5,-271813
2793659,,,204.17,1,021330.4,+165252
2793681,11.90,17021,,,,
2793687,11.99,12399,,,,
2793689,12.40,15055,,,,
2793692,11.78,13084,133.66,1,132832.9,-283622
2793693,11.53,15310,,,,
2793695,11.92,14756,,,,
2793696,11.94,14938,177.01,1,133125.7,-302545
2793698,11.07,4658,,,,
2793712,11.44,14270,,,,
2793716,12.44,14069,,,,
2793718,12.17,16051,,,,
2793719,,,230.14,1,133303.7,-331255
2793720,10.95,10559,,,,
2793721,12.16,27243,,,,
2793722,11.08,11479,,,,
2793723,10.58,10218,,,,
2796186,12.39,28635,,,,
2796587,11.24,10188,,,,
2796890,10.89,4065,,,,
2796960,10.30,3381,,,,
2797016,9.52,3510,,,,
2797092,11.01,5963,,,,
2797119,11.10,7832,,,,
2797207,8.32,2269,,,,
2797282,8.65,1741,,,,
2797482,10.76,3882,,,,
2797489,10.25,5401,,,,
2797507,10.41,4528,,,,
2797517,11.21,12751,,,,
2797621,10.31,8379,,,,
2797872,11.10,9015,,,,
2798262,10.88,9294,,,,
2798555,10.19,4992,,,,
2798578,10.76,10513,,,,
2798958,12.39,26820,,,,
2799179,12.17,11889,,,,
2799183,12.21,12065,,,,
2799184,12.45,11624,,,,
2799193,12.32,11780,,,,
2799524,12.00,18811,,,,
2799539,12.08,21594,,,,
2799923,12.13,17790,,,,
2799985,12.19,14711,167.49,1,133012.3,-293006
2800007,12.06,18287,,,,
2800010,10.97,17836,,,,
2800013,12.43,17310,,,,
2800497,12.36,16033,284.45,1,004122.1,-095240
2800776,12.28,11713,,,,
2800813,,,95.06,1,092041.8,+334340
2800814,,,179.47,1,070357.0,-490413
2800815,,,187.93,1,071008.7,-492432
2800818,,,147.23,1,111003.1,+214103
2800819,,,103.75,1,111020.2,+211925
2800820,,,452.90,1,125311.0,-291107
2800821,,,313.33,1,125423.0,-284213
2800822,,,188.80,1,133411.4,-350402
2800823,,,154.17,1,133457.1,-350834
2800824,,,166.72,1,133743.2,-352944
2800825,,,235.50,1,133846.5,-353052
2800826,,,204.17,1,133921.9,-354312
2800827,,,62.81,1,140857.2,-270256
2800828,,,356.45,1,150618.0,+284342
2800830,,,248.89,1,151338.2,+071939
2800831,,,212.81,1,151416.2,+072023
2800832,11.58,6040,108.64,1,200433.7,-390711
2800833,,,136.14,1,231625.4,+182813
2800834,,,306.20,1,232012.3,+184855
2800835,,,446.68,1,232232.2,+164717
2800836,,,176.20,1,232302.2,+173218
2800837,,,168.27,1,232310.1,+173821
2800838,,,181.97,1,232508.5,+162236
2800839,,,180.30,1,232350.6,+135325
2800840,,,194.09,1,232538.5,+152115
2800841,,,75.86,1,234130.9,+090422
2800842,,,164.44,1,234313.9,+083455
2800843,,,187.07,1,234727.4,+091554
2800859,11.82,4676,,,,
2800861,11.91,15220,214.78,1,131929.1,-333106
2800862,12.23,8693,,,,
2800868,12.44,15092,,,,
2800872,12.44,10680,212.81,1,133001.2,-275830
2800876,11.91,15556,279.25,1,133227.2,-373049
2800878,12.38,7812,,,,
2800880,11.96,15267,131.83,1,133301.5,-330601
2800894,12.47,7551,,,,
2800897,,,261.82,1,134033.6,-354027
2800898,12.19,11488,,,,
2800899,12.30,16369,,,,
2800902,11.53,11828,,,,
2800904,11.79,9953,,,,
2800912,11.98,7223,,,,
2800913,11.51,17851,,,,
2800914,11.36,10657,,,,
2800915,10.66,8512,,,,
2800916,10.62,8026,,,,
2800918,11.32,14924,165.20,1,214349.4,-080427
2800919,11.22,2606,,,,
2800920,11.43,12056,169.04,1,212215.0,-092558
2800921,11.47,8200,,,,
2800922,12.49,8573,127.64,1,212425.9,-113111
2800923,11.56,5618,,,,
2800943,11.30,11451,,,,
2800946,12.31,4929,,,,
2800949,12.12,9085,,,,
2800955,11.48,7318,,,,
2800960,11.61,10558,,,,
2800965,12.41,6727,,,,
2800968,11.61,9671,,,,
2800969,11.19,12994,,,,
2800971,11.76,9908,,,,
2800972,12.41,14569,,,,
2800975,12.25,7160,,,,
2800984,11.27,6222,,,,
2800986,12.12,12009,,,,
2800989,11.64,9803,,,,
2800995,11.80,5370,,,,
2800996,11.80,11511,,,,
2800998,11.65,9190,,,,
2800999,11.43,14758,,,,
2801117,11.34,7912,,,,
2801152,12.09,27933,,,,
2801170,11.74,8971,,,,
2801188,12.14,14810,123.03,1,174511.6,-553308
2801210,12.34,16609,,,,
2801218,12.22,7177,,,,
2801221,10.55,8408,,,,
2801226,12.09,7082,,,,
2801239,12.39,19169,,,,
2801241,12.10,6885,,,,
2801255,11.09,8215,98.63,1,181316.5,-492005
2801266,12.11,18670,,,,
2801283,12.46,13280,,,,
2801304,11.64,14343,,,,
2801305,11.52,17165,,,,
2801313,11.66,14872,,,,
2801316,11.85,20305,,,,
2801322,10.73,4290,,,,
2801323,12.11,12956,,,,
2801334,11.08,5898,77.27,1,112856.9,-464008
2801355,11.39,17082,,,,
2801371,11.99,25485,,,,
2801410,11.25,10910,,,,
2801411,11.19,11028,,,,
2801418,11.80,11875,,,,
2801452,12.43,21923,,,,
2801516,12.25,20888,,,,
2801517,12.20,20888,,,,
2801552,11.93,15758,195.88,1,082449.5,-135134
2801563,11.43,12015,160.69,1,123025.2,-500800
2801565,10.34,3976,58.08,1,123018.5,-494400
2801566,11.33,12081,,,,
2801590,11.24,10726,,,,
2801652,12.13,19383,,,,
2801660,12.25,21169,,,,
2801669,12.25,10985,,,,
2801676,10.76,8466,,,,
2801683,12.30,15109,,,,
2801692,12.47,22719,,,,
2801704,,,238.78,1,135637.3,-461557
2801721,10.24,7204,86.70,1,115219.7,-722943
2801733,11.68,7265,127.06,1,131537.0,-732214
2801757,12.36,16436,,,,
2801771,10.57,4351,,,,
2801803,11.51,7913,90.78,1,173237.4,-534727
2801813,11.83,9161,,,,
2801817,11.48,15441,,,,
2801824,11.43,7933,,,,
2801825,12.47,7953,,,,
2801832,12.46,28265,,,,
2801835,12.42,13974,,,,
2801840,12.47,12175,,,,
2801841,12.22,7761,,,,
2801867,10.93,10972,,,,
2801871,11.14,7377,,,,
2801875,11.20,10218,,,,
2801922,11.54,8530,,,,
2801923,11.10,8403,,,,
2801924,11.93,9609,,,,
2801938,12.13,13870,,,,
2801946,11.76,18249,,,,
2801976,10.43,6423,,,,
2801983,10.98,12873,,,,
2801987,12.38,3392,,,,
2801989,10.68,6309,,,,
2801991,10.81,6589,,,,
2802001,10.63,4991,,,,
2802071,10.94,4385,,,,
2802088,12.01,15259,,,,
2802093,11.91,20028,,,,
2802124,11.82,9678,138.68,1,180325.9,-522841
2802338,11.29,4727,,,,
2802340,11.93,748,,,,
2802343,11.36,4387,,,,
2802347,12.17,5623,,,,
2802349,12.41,8054,,,,
2802350,12.13,7605,,,,
2802352,12.38,12899,,,,
2802353,11.01,4765,,,,
2802356,11.74,14901,183.65,1,172906.5,-652314
2802357,,,160.69,1,172908.8,-652248
2802358,11.64,12500,136.77,1,172859.1,-664747
2802370,9.76,5778,,,,
2802407,12.23,18337,,,,
2802441,12.23,10471,,,,
2802451,11.52,10749,116.95,1,135802.6,-154256
2802458,11.71,15091,220.80,1,134038.1,-335927
2802459,12.41,15243,,,,
2802460,11.46,15290,,,,
2806955,12.48,14454,,,,
2807042,12.13,8575,82.04,1,102459.1,-172536
2807751,10.99,12821,,,,
2807810,10.80,13736,,,,
2808931,10.90,16462,,,,
2810275,11.18,4980,,,,
2811498,10.70,4500,,,,
2811870,11.12,16543,,,,
2812989,10.36,4990,,,,
2815237,11.12,7307,,,,
2815887,12.39,9038,,,,
2815934,12.33,7479,,,,
2816033,12.43,8437,,,,
2816040,12.40,10054,,,,
2816048,11.98,9850,,,,
2816052,12.23,5037,,,,
2816085,11.95,23052,,,,
2816096,12.26,8211,,,,
2816104,12.22,18132,,,,
2816127,12.32,11759,,,,
2816130,11.55,11814,,,,
2816214,12.34,5755,,,,
2816221,12.42,8719,,,,
2816236,10.61,5508,,,,
2816246,12.39,17032,,,,
2816248,12.10,10325,,,,
2816250,12.19,14916,,,,
2816261,12.31,8686,,,,
2816278,12.37,11157,,,,
2816280,12.31,15441,,,,
2816283,12.17,5314,,,,
2816301,12.36,12462,,,,
2816303,12.22,3648,,,,
2816317,12.02,5984,,,,
2816324,12.19,5729,,,,
2816329,12.24,21965,,,,
2816336,11.16,4983,,,,
2816354,12.14,19329,,,,
2816357,12.44,13240,,,,
2816367,11.99,10339,,,,
2816371,12.07,10093,,,,
2816378,12.09,9926,,,,
2816382,12.08,8322,,,,
2816383,12.45,12381,,,,
2816404,11.43,8598,,,,
2816407,12.10,9486,,,,
2816418,11.27,4652,,,,
2816420,12.37,10627,,,,
2816426,11.74,5262,,,,
2816428,12.18,13668,,,,
2816432,12.26,9337,,,,
2816442,12.41,13676,,,,
2816444,11.91,3751,,,,
2816456,11.24,2390,,,,
2816458,12.19,11006,,,,
2816462,11.52,7350,,,,
2816464,11.55,11055,,,,
2816469,12.46,10276,,,,
2816473,11.52,3434,,,,
2816478,12.19,4154,,,,
2816479,11.11,9874,,,,
2816490,12.12,14209,,,,
2816495,10.88,7044,,,,
2816497,11.92,18018,,,,
2816499,12.05,12142,,,,
2816501,12.45,12842,,,,
2816506,12.42,14735,,,,
2816508,11.89,5223,,,,
2816512,12.29,13069,,,,
2816514,11.09,9935,,,,
2816517,12.41,17792,,,,
2816518,12.12,9971,,,,
2816521,12.47,9945,,,,
2816522,12.00,14084,,,,
2816525,12.02,7077,,,,
2816528,12.17,7271,,,,
2816534,11.70,7377,,,,
2816537,11.56,7295,,,,
2816540,11.94,11817,,,,
2816541,11.58,6107,,,,
2816543,11.62,7140,,,,
2816546,12.46,9144,,,,
2816549,12.08,13020,,,,
2816553,12.22,7766,,,,
2816554,11.34,8025,,,,
2816565,11.26,8475,,,,
2816573,11.86,8859,,,,
2816575,11.30,5517,,,,
2816583,10.66,5311,,,,
2816586,12.08,18649,,,,
2816591,11.89,11189,,,,
2816613,11.63,5257,,,,
2816616,12.46,13145,,,,
2816620,12.31,15331,,,,
2816626,11.47,8678,,,,
2816627,12.18,11859,,,,
2816631,12.31,15389,,,,
2816632,11.91,17534,,,,
2816633,12.16,5566,,,,
2816635,12.13,19370,,,,
2816644,11.19,9358,,,,
2816645,11.81,11174,,,,
2816647,11.78,5764,,,,
2816650,11.80,5541,,,,
2816665,11.68,2394,30.62,1,092855.0,-294020
2816669,12.07,15958,,,,
2816671,12.26,5931,,,,
2816672,12.35,14809,,,,
2816680,12.43,21579,,,,
2816682,12.32,9965,,,,
2816684,11.25,12413,,,,
2816689,12.21,20041,,,,
2816690,11.80,11884,,,,
2816694,11.16,2702,,,,
2816705,12.33,8834,,,,
2816707,11.77,10046,,,,
2816712,12.20,22301,,,,
2816721,11.92,8770,,,,
2816724,11.75,6880,,,,
2816743,11.42,8106,,,,
2816747,12.04,9234,,,,
2816748,11.91,9184,,,,
2816766,12.35,9357,,,,
2816772,11.97,19103,,,,
2816776,12.46,14739,,,,
2816778,11.59,6940,,,,
2816779,11.73,16737,,,,
2816785,12.20,5378,,,,
2816793,12.21,8509,,,,
2816808,11.94,8859,,,,
2816813,11.75,10903,,,,
2816815,12.16,9341,,,,
2816816,12.16,19743,,,,
2816817,12.33,15880,,,,
2816818,11.94,8271,,,,
2816824,11.86,3499,,,,
2816825,11.83,9443,,,,
2816828,12.37,12070,,,,
2816832,11.87,8362,,,,
2816835,11.73,9248,,,,
2816839,11.63,6853,,,,
2816843,12.23,12056,,,,
2816855,11.83,3535,,,,
2816859,12.36,14005,,,,
2816862,11.88,11099,,,,
2816868,12.07,9992,,,,
2816875,12.19,23893,,,,
2816877,12.00,14607,,,,
2816879,12.11,14982,,,,
2816883,12.35,15242,,,,
2816885,12.48,9836,,,,
2816887,11.31,10169,,,,
2816909,11.60,13242,,,,
2816911,12.07,12685,,,,
2816920,12.14,12639,,,,
2816928,12.19,10307,,,,
2816934,12.42,14668,,,,
2816935,12.38,17986,,,,
2816936,11.91,14647,,,,
2816938,12.43,11589,,,,
2816942,12.24,7730,,,,
2816944,12.06,11643,,,,
2816946,11.46,11111,,,,
2816947,11.92,13642,,,,
2816958,11.42,8456,,,,
2816959,12.12,8469,,,,
2816967,12.18,7281,,,,
2816970,11.78,7074,,,,
2816972,11.64,9299,,,,
2816974,12.45,15321,,,,
2816978,11.18,4368,,,,
2816987,12.49,12656,,,,
2816996,11.76,10947,,,,
2817006,12.21,11881,,,,
2817007,11.33,12127,,,,
2817012,12.43,15728,,,,
2817030,12.34,11392,,,,
2817033,10.69,7054,,,,
2817039,12.16,5365,,,,
2817045,9.86,8864,,,,
2817062,11.37,4756,,,,
2817075,12.13,8743,,,,
2817076,11.88,4922,,,,
2817080,12.22,3786,,,,
2817087,11.33,9718,,,,
2817097,12.08,14514,,,,
2817100,11.63,5858,,,,
2817109,11.80,13659,,,,
2817111,11.49,15861,,,,
2817114,11.73,4439,,,,
2817116,11.78,5168,,,,
2817118,12.28,18025,,,,
2817120,12.10,20843,,,,
2817129,12.29,17224,,,,
2817139,12.46,23674,,,,
2817146,12.09,5401,,,,
2817150,12.08,12275,,,,
2817151,11.08,12096,,,,
2817152,12.23,15729,,,,
2817153,11.61,7404,,,,
2817157,12.48,14328,,,,
2817159,12.41,14089,,,,
2817162,12.26,9800,,,,
2817164,11.50,15700,,,,
2817167,11.85,13652,,,,
2817175,11.68,5675,,,,
2817177,11.14,5563,,,,
2817178,12.35,9999,,,,
2817181,11.80,1791,,,,
2817182,12.45,4944,,,,
2817189,12.11,11729,,,,
2817203,11.19,8599,,,,
2817208,11.77,9900,,,,
2817221,12.37,13609,,,,
2817224,12.24,6413,,,,
2817228,11.45,6270,,,,
2817232,11.92,5470,,,,
2817234,12.44,8435,,,,
2817235,11.66,14413,,,,
2817237,11.81,5641,,,,
2817243,11.45,14570,,,,
2817246,11.86,8599,,,,
2817252,11.78,8170,,,,
2817254,11.60,7679,,,,
2817256,12.06,18013,,,,
2817259,12.33,9315,,,,
2817261,12.06,17815,,,,
2817262,11.72,16429,,,,
2817267,12.30,7986,,,,
2817268,11.49,8453,,,,
2817270,12.00,7755,,,,
2817276,12.22,2250,,,,
2817281,11.62,26079,,,,
2817292,12.38,9044,,,,
2817300,12.15,16543,,,,
2817313,12.49,5908,,,,
2817323,11.94,9831,,,,
2817326,11.31,11668,,,,
2817329,12.30,11463,,,,
2817332,11.13,7108,,,,
2817343,11.82,7965,,,,
2817371,12.47,16788,,,,
2817379,12.14,10548,,,,
2817390,12.20,28759,,,,
2817397,11.96,19885,,,,
2817403,10.36,5006,,,,
2817404,11.06,8828,,,,
2817406,11.72,9765,,,,
2817409,12.25,10335,,,,
2817416,12.42,11821,,,,
2817421,12.45,16557,,,,
2817423,12.16,19096,,,,
2817436,11.59,5937,,,,
2817440,11.44,8650,,,,
2817443,11.04,6179,,,,
2817450,11.31,7383,79.43,1,061750.9,-325120
2817452,12.44,8011,,,,
2817456,12.38,18641,,,,
2817459,12.11,13052,237.68,1,205521.0,-544528
2817463,11.92,15986,,,,
2817464,12.42,12490,,,,
2824651,11.37,15804,,,,
2824793,10.88,16568,,,,
2825402,11.20,19712,,,,
2825572,12.17,38432,,,,
2825766,10.86,11497,,,,
2826854,11.97,17127,,,,
2827070,11.86,28856,,,,
2827169,11.61,17188,,,,
2827327,12.04,28823,,,,
2828182,11.74,7413,79.80,1,145433.4,-374755
2829045,11.04,14804,,,,
2829530,12.22,20850,,,,
2830065,11.49,24156,,,,
2830271,12.08,35505,,,,
2830724,12.38,24134,,,,
2830733,12.12,22280,,,,
2832011,11.61,10856,,,,
2832013,11.26,9490,141.91,1,045653.6,-181444
2832014,11.46,5793,,,,
2832015,12.02,16719,,,,
2832016,11.37,12729,165.20,1,045933.3,-181217
2832017,11.55,9141,,,,
2832018,11.30,7313,,,,
2832019,12.15,11983,192.31,1,050357.9,-240032
2832020,12.30,15839,,,,
2832021,11.78,12364,,,,
2832022,12.43,9341,,,,
2832028,12.35,13500,,,,
2832029,12.31,15785,,,,
2832031,12.27,16119,,,,
2832032,11.65,11123,,,,
2832034,12.17,9047,,,,
2832036,12.49,11214,,,,
2832040,12.17,15636,,,,
2832041,11.90,8825,,,,
2832068,10.45,7710,,,,
2944028,,,198.61,1,054800.9,-130904
3073574,10.52,5301,64.27,1,105921.7,-432824
3073577,9.99,6317,80.17,1,115420.4,-514652
3074077,11.14,6245,,,,
3074094,10.67,4707,,,,
3074327,11.16,5528,,,,
3074615,11.15,9101,,,,
3074694,10.92,7383,,,,
3074887,10.92,6253,,,,
3075108,10.99,3857,,,,
3075115,8.84,3858,,,,
3075152,10.84,3842,,,,
3075191,10.45,5099,,,,
3075236,10.79,4210,,,,
3075305,11.18,4466,,,,
3076098,10.54,11434,,,,
3076100,11.13,11695,,,,
3076803,11.17,13409,,,,
3077175,10.86,10649,,,,
3077474,11.15,4484,,,,
3077584,10.90,15933,,,,
3077601,10.89,7969,,,,
3077741,11.03,4586,,,,
3077745,11.23,18387,,,,
3077751,10.97,5399,,,,
3077780,11.10,12442,,,,
3077973,10.71,5908,,,,
3077996,10.20,4024,,,,
3078012,9.75,5315,,,,
3078020,11.20,10463,,,,
3078051,10.51,5273,,,,
3078098,10.43,4817,,,,
3078134,10.61,5334,,,,
3078136,10.85,4297,,,,
3078477,11.19,5285,,,,
3078882,,,242.10,1,165226.6,-595853
3078892,,,202.30,1,165238.3,-595727
3079674,11.17,10410,,,,
3079804,11.09,13274,,,,
3079813,10.61,14922,,,,
3079912,10.84,6115,,,,
3079935,10.32,5827,,,,
3080012,10.26,5141,,,,
3080162,12.38,6597,,,,
3080163,11.48,6559,,,,
3080182,11.74,10077,,,,
3080186,12.41,27170,,,,
3080191,12.49,7586,,,,
3080193,12.40,11464,,,,
3080195,12.32,16106,258.23,1,002037.3,-131719
3080215,12.04,18086,,,,
3080216,12.32,10375,,,,
3080221,12.06,5948,,,,
3080225,12.45,25152,,,,
3080227,11.88,17908,,,,
3080228,12.49,17723,,,,
3080236,12.14,9483,139.32,1,005403.6,-473156
3080242,12.48,15090,,,,
3080249,12.42,16198,,,,
3080252,12.34,11186,,,,
3080260,12.43,17187,,,,
3080267,12.07,9322,,,,
3080277,12.37,8642,105.20,1,011503.7,-443341
3080280,,,179.47,1,012112.7,-142416
3080293,12.48,10348,,,,
3080294,11.87,9535,131.83,1,012955.2,-202629
3080296,,,124.17,1,013051.7,-224242
3080301,12.33,20636,,,,
3080304,12.34,12651,,,,
3080312,11.81,6387,,,,
3080315,,,209.89,1,013716.7,-064522
3080318,12.14,5961,,,,
3080323,12.05,21105,,,,
3080328,12.27,6292,123.59,1,014537.1,-401715
3080329,12.35,17984,,,,
3080334,12.49,11425,,,,
3080336,11.85,23110,,,,
3080339,12.35,16281,,,,
3080352,12.25,23762,,,,
3080355,12.40,17032,,,,
3080356,12.28,5959,,,,
3080362,12.44,14745,,,,
3080364,11.57,38467,,,,
3080365,11.73,14129,,,,
3080367,12.48,17282,,,,
3080370,11.92,15776,,,,
3080371,12.48,15776,,,,
3080377,,,165.20,1,022907.5,-184510
3080380,12.16,17140,,,,
3080383,12.26,7489,,,,
3080385,12.48,9573,,,,
3080386,12.20,7822,,,,
3080388,12.40,19577,,,,
3080392,12.23,10145,,,,
3080393,11.67,8008,,,,
3080402,12.13,14751,,,,
3080404,12.32,8935,152.76,1,024345.9,-081057
3080405,11.71,7311,85.51,1,024420.8,-163921
3080411,12.22,19599,,,,
3080414,12.27,13493,,,,
3080426,12.27,16922,,,,
3080428,11.73,8659,171.40,1,030604.7,-055323
3080429,12.21,8404,,,,
3080433,12.49,20059,,,,
3080436,12.33,18944,,,,
3080440,12.12,8090,,,,
3080442,12.24,20074,,,,
3080444,12.39,20234,,,,
3080448,11.60,8512,,,,
3080449,12.29,5405,,,,
3080450,11.98,10307,,,,
3080459,12.35,25014,,,,
3080464,,,198.61,1,032514.3,-691003
3080467,12.38,14427,,,,
3080473,11.49,10304,,,,
3080475,12.27,10606,,,,
3080480,11.99,10930,,,,
3080483,12.00,7628,,,,
3080484,12.09,9944,,,,
3080489,12.26,12215,,,,
3080493,12.47,10328,,,,
3080501,12.36,10620,,,,
3080502,12.42,13607,,,,
3080510,12.50,20930,,,,
3080511,12.48,16170,,,,
3080517,11.97,11998,,,,
3080525,11.29,10720,,,,
3080527,12.16,10995,,,,
3080529,12.48,11916,,,,
3080539,,,199.53,1,040138.3,-042822
3080545,11.51,9381,107.15,1,040313.2,-092255
3080548,12.25,16329,,,,
3080554,,,155.60,1,040434.3,-094057
3080564,12.16,21028,,,,
3080567,12.45,8977,,,,
3080571,12.50,11845,,,,
3080585,11.42,9463,149.97,1,041507.4,-130744
3080587,11.84,14500,,,,
3080588,,,157.76,1,041538.6,-005750
3080592,11.80,12635,203.24,1,041612.9,-023636
3080605,11.55,11994,112.72,1,041857.6,-014131
3080607,,,157.04,1,041944.1,-001526
3080611,11.91,11703,193.20,1,042029.0,-062507
3080612,12.18,7834,,,,
3080617,12.42,18389,,,,
3080622,11.62,19160,,,,
3080628,12.48,11230,154.88,1,042550.7,-103740
3080632,11.90,5097,,,,
3080633,12.01,18220,,,,
3080636,11.75,18220,,,,
3080640,12.40,12053,,,,
3080641,12.16,9427,121.34,1,042846.9,-120939
3080642,10.89,11565,172.19,1,042853.7,-091829
3080655,12.32,8645,,,,
3080661,11.98,10376,121.34,1,043620.4,-135432
3080662,12.47,10338,131.83,1,043700.5,-110128
3080665,11.38,10210,,,,
3080667,11.96,10463,,,,
3080669,11.72,11411,,,,
3080670,12.35,12208,,,,
3080671,11.39,8373,,,,
3080677,,,198.61,1,044242.7,-365115
3080685,12.17,9238,,,,
3080686,11.83,10900,129.42,1,044536.0,-160605
3080687,12.41,10232,,,,
3080688,11.69,10932,,,,
3080692,11.70,5922,89.95,1,044805.6,-133953
3080695,11.52,4332,,,,
3080700,12.40,20719,,,,
3080703,12.21,18810,,,,
3080708,11.75,11891,143.88,1,045220.5,-193149
3080712,12.07,18939,,,,
3080713,12.00,10271,,,,
3080714,11.57,9262,,,,
3080719,12.04,13852,,,,
3080721,12.31,12061,,,,
3080724,12.24,12324,,,,
3080726,12.32,20303,,,,
3080727,12.46,20483,,,,
3080731,12.08,20615,,,,
3080737,12.02,7814,,,,
3080738,12.49,15230,287.08,1,050025.4,-211431
3080741,11.59,21460,,,,
3080745,12.42,3713,,,,
3080747,12.37,20997,,,,
3080750,12.30,14440,,,,
3080751,12.40,12775,,,,
3080754,12.50,6551,,,,
3080757,12.08,13805,,,,
3080758,12.08,7960,,,,
3080761,11.91,12813,138.68,1,050129.4,-191740
3080764,11.03,11450,113.24,1,050149.9,-250410
3080765,11.53,10198,,,,
3080766,12.37,11127,,,,
3080768,,,125.89,1,050215.0,-245046
3080771,12.49,27077,,,,
3080773,11.50,3920,,,,
3080774,12.38,23337,,,,
3080776,12.18,12804,,,,
3080777,11.88,27458,,,,
3080781,12.38,37609,,,,
3080783,12.18,12087,199.53,1,050432.3,-250850
3080786,10.88,3780,,,,
3080788,12.24,11433,196.79,1,050553.1,-283700
3080790,11.10,10477,,,,
3080792,11.68,16661,,,,
3080794,11.75,7966,,,,
3080810,11.60,15736,,,,
3080814,12.34,18113,,,,
3080816,11.98,13949,,,,
3080818,,,263.03,1,051131.7,-255420
3080825,11.47,10037,135.52,1,051250.3,-240755
3080826,11.47,9704,144.54,1,051253.4,-232645
3080830,11.56,8565,107.65,1,051453.5,-033008
3080833,12.18,11916,,,,
3080837,12.43,22873,,,,
3080842,12.31,17134,,,,
3080849,11.59,4839,,,,
3080851,11.89,10515,114.29,1,051918.2,-290124
3080852,12.33,10707,,,,
3080854,11.85,10044,98.63,1,051927.8,-232116
3080858,12.42,10733,134.90,1,051934.3,-143833
3080861,12.10,11917,,,,
3080871,,,230.14,1,052016.9,-252618
3080874,12.19,10865,,,,
3080875,12.26,15629,,,,
3080878,12.11,8703,,,,
3080879,11.92,15154,167.49,1,052108.0,-521352
3080887,12.16,14687,,,,
3080889,11.76,13848,,,,
3080890,12.39,10393,,,,
3080892,12.35,14687,132.43,1,052159.3,-024029
3080894,11.19,15503,141.91,1,052208.1,-025732
3080895,11.81,19448,,,,
3080896,10.97,8535,,,,
3080898,12.22,12637,,,,
3080900,,,260.62,1,052427.5,-031242
3080903,12.47,15898,,,,
3080916,11.82,23755,,,,
3080921,12.26,10908,,,,
3080926,11.93,16394,,,,
3080931,11.54,14418,,,,
3080933,12.36,20300,,,,
3080936,11.87,14762,,,,
3080937,12.14,14418,,,,
3080939,11.76,7974,,,,
3080940,12.48,10148,,,,
3080944,11.89,10693,115.35,1,052921.3,-280157
3080946,11.89,8685,,,,
3080948,11.64,8373,94.62,1,052932.0,-193250
3080952,11.88,17696,,,,
3080960,12.18,14351,284.45,1,053014.9,-065457
3080962,12.38,14462,,,,
3080963,12.47,10681,,,,
3080966,11.36,11222,,,,
3080969,12.12,11071,,,,
3080972,12.21,10848,,,,
3080974,11.91,14806,,,,
3080977,11.48,8495,87.10,1,053222.1,-214822
3080983,12.18,11175,132.43,1,053329.6,-304933
3080985,12.33,6562,,,,
3080988,12.40,16126,,,,
3080989,12.42,19499,,,,
3080991,11.57,8389,,,,
3080992,11.86,10740,,,,
3080993,12.47,14015,119.12,1,053416.5,-363535
3081007,12.18,15225,,,,
3081009,,,169.04,1,053510.0,-502206
3081014,,,300.61,1,053554.7,-500821
3081015,12.17,7865,89.54,1,053557.5,-083117
3081017,11.81,11646,,,,
3081019,11.80,19625,,,,
3081027,12.47,10959,,,,
3081031,12.10,10872,,,,
3081036,12.08,24116,,,,
3081038,11.61,7045,,,,
3081040,12.31,17212,,,,
3081041,11.47,6397,,,,
3081042,12.32,16093,,,,
3081046,12.36,15311,,,,
3081053,12.37,10963,133.05,1,053811.4,-335910
3081057,12.30,8444,,,,
3081066,12.11,13764,,,,
3081067,12.19,10225,,,,
3081069,12.38,11360,,,,
3081070,12.48,10729,,,,
3081072,11.96,13500,,,,
3081075,,,207.01,1,054100.4,-483633
3081078,,,207.01,1,054131.3,-412339
3081080,11.77,12352,,,,
3081081,12.19,12303,,,,
3081086,11.41,19751,,,,
3081090,12.46,11349,,,,
3081093,10.66,6919,,,,
